Unnamed: 0,additionalrooms,age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,carpetarea,facing,floor,locality,neworold,opensides,overlooking,ownership,possesiondate,price,pricepersquare,projectname,roadfaceing,status,totalfloor
9991,,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens",650 sq ft,,1,1 BHK Villa ,,East,Gr,Kharadi,Resale,,,Freehold,,4800000.0,"₹ 7,384/ sq ft ",,,"Ready to move,Unfurnished",
9992,,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens",648 sq ft,,1,1 BHK Apartment ,,East,"5, ",Yerawada,Resale,,,Freehold,,4800000.0,"₹ 7,407/ sq ft ",Goel Ganga Hari Ganga,,"Ready to move,Unfurnished",11
9993,,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,480 sq ft",,3,3 BHK Apartment ,,East,"5, ",Shastri Nagar,Resale,,,Freehold,,8000000.0,"₹ 5,405/ sq ft ",,,"Ready to move,Semi-Furnished",5
9994,,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",,"2,365 sq ft",,3,3 BHK Apartment ,,East,"1, ",Kharadi,Resale,,,Freehold,,13000000.0,"₹ 5,496/ sq ft ",Marvel Zephyr,,"Ready to move,Unfurnished",10
9995,,2 - 3 years,"Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Lift Available,Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","2,000 sq ft",,2,2 BHK Villa ,,East,Gr,Kharadi,Resale,,,Freehold,,9000000.0,"₹ 4,500/ sq ft ",,,"Ready to move,Unfurnished",
9996,,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Landscaped Gardens",Sports Facility,"1,435 sq ft",,3,3 BHK Apartment ,,East,"3, ",Mundhwa,Resale,,,Freehold,,8900000.0,"₹ 6,202/ sq ft ",Marvel Matrix,,"Ready to move,Semi-Furnished",13
9997,,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Jogging Track","Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,000 sq ft",,2,2 BHK Apartment ,,North,"3, ",Viman Nagar,Resale,,,Freehold,,7200000.0,"₹ 7,200/ sq ft ",Gokul Elegance,,"Ready to move,Unfurnished",6
9998,,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","2,000 sq ft",,5,5 BHK Apartment ,,East,Gr ,Kalyani Nagar,Resale,,,Freehold,,32500000.0,"₹ 16,250/ sq ft ",RK Queens Court,,"Ready to move,Unfurnished",5
9999,,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",,"1,660 sq ft",,2,2 BHK Apartment ,,East,"6, ",Kharadi,Resale,,,Co-Operative Society,,10800000.0,"₹ 6,506/ sq ft ",Marvel Zephyr,,"Ready to move,Unfurnished",12
10000,,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",,"4,355 sq ft",,4,4 BHK Apartment ,,East,"8, ",Kharadi,Resale,,,Freehold,,27000000.0,"₹ 6,199/ sq ft ",Marvel Zephyr,,"Ready to move,Semi-Furnished",12
10001,,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom","Sports Facility,Landscaped Gardens","4,200 sq ft",,4,4 BHK Apartment ,,East,"5, ",Koregaon Park,Resale,,,Freehold,,32500000.0,"₹ 7,738/ sq ft ",Kalpataru Habitat,,"Ready to move,Semi-Furnished",11
10002,,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,438 sq ft",,3,3 BHK Apartment ,,East,"5, ",Koregaon Park,Resale,,,Freehold,,18500000.0,"₹ 12,865/ sq ft ",Darode Blossom Bouleward,,"Ready to move,Unfurnished",12
10003,,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Landscaped Gardens","Children's play area,Club House,Sports Facility","7,500 sq ft",,5,5 BHK Apartment ,,East,"18, ",Koregaon Park,Resale,,,Freehold,,140000000.0,"₹ 18,666/ sq ft ",ABIL Gods Blessings,,"Ready to move,Unfurnished",25
10004,,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Club House,Sports Facility,Landscaped Gardens","2,860 sq ft",,5,5 BHK Apartment ,,East,"6, ",Kalyani Nagar,Resale,,,Co-Operative Society,,44000000.0,"₹ 15,384/ sq ft ",,,"Ready to move,Semi-Furnished",11
10005,1 rooms( pooja room ),5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","5,850 sq ft",3,5,4 BHK Apartment ,,,"12, ",Koregaon Park,Resale,,Garden View,Freehold,,100000000.0,"₹ 17,094/ sq ft ",Ajmera Aria,,"Ready to move,Furnished",20
10006,,,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Sofa,Dining Table","Lift Available,AC,Wardrobe,TV,Refrigerator,Wifi,Gas connection,BED",995 sq ft,,2,2 BHK Apartment ,,East,"9, ",Wadgaon Sheri,New,,,Freehold,Mar 2018,5500000.0,"₹ 5,527/ sq ft ",Kumar Primavera,,Under Construction,9
10007,,4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,294 sq ft",1,3,3 BHK Apartment ,1105 sq ft,East,"4, ",Pimple Saudagar,Resale,1,"Corner, Garden View, Road View",,,9000000.0,"₹ 6,955/ sq ft ",Siddhivinayak Prime Plus,,"Ready to move,Unfurnished",7
10008,,,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","3,037 sq ft",,, Residential Plot ,,East,,Warje,Resale,1,,,,16000000.0,"₹ 5,268/ sq ft ",,,Unfurnished,
10009,"2 rooms( study room, pooja room )",9 - 10 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,059 sq ft",2,2,2 BHK Apartment ,,East,"5, ",Kalyani Nagar,Resale,,"Pool View, Garden View",Freehold,,7450000.0,"₹ 7,034/ sq ft ",,,"Ready to move,Unfurnished",9
10010,,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Landscaped Gardens,BED","Children's play area,Club House,Gymnasium,Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,200 sq ft",1,2,2 BHK Apartment ,,North,"1, ",Koregaon Park,Resale,,"Pool View, Garden View",Co-Operative Society,,14000000.0,"₹ 11,666/ sq ft ",Builder Wellington Mews,,"Ready to move,Furnished",4
10011,,0 - 1 year,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",550 sq ft,1,1,1 BHK Apartment ,510 sq ft,North,"3, ",sinhagad road,Resale,,,Freehold,,2800000.0,"₹ 5,090/ sq ft ",Builder Narharismruti,50 feet,"Ready to move,Unfurnished",4
10012,"3 rooms( study room, servant room, pooja room )",9 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Microwave,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Wifi,Dining Table,Gas connection",980 sq ft,2,2,2 BHK Apartment ,,East,"2, ",Pashan,Resale,4,"Garden View, Pool View, Road View",Co-Operative Society,,7000000.0,"₹ 7,142/ sq ft ",KUL Shantiniketan Phase II,80 feet,"Ready to move,Furnished",2
10013,,10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","2,250 sq ft",2,3,3 BHK Villa ,,East,,Wagholi,Resale,,"Garden View, Pool View, Road View",Freehold,,10000000.0,"₹ 4,444/ sq ft ",,,"Ready to move,Unfurnished",2
10014,1 rooms( study room ),10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens",,"3,435 sq ft",1,6,4 BHK Apartment ,,East,"14, ",Kharadi,Resale,,"Garden View, Pool View, Road View",Freehold,,31000000.0,"₹ 9,024/ sq ft ",Panchshil Infrastructure Towers,,"Ready to move,Unfurnished",31
10015,1 rooms( pooja room ),10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Wifi","3,930 sq ft",5,5,4 BHK Apartment ,,East,"7, ",Koregaon Park,Resale,,"Garden View, Pool View, Road View",Freehold,,63600000.0,"₹ 16,183/ sq ft ",,,"Ready to move,Semi-Furnished",11
10016,,10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Wifi","1,690 sq ft",2,3,3 BHK Apartment ,,East,"8, ",Viman Nagar,Resale,,"Garden View, Pool View, Road View",Freehold,,20000000.0,"₹ 11,834/ sq ft ",,,"Ready to move,Furnished",9
10017,1 rooms( servant room ),10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","3,350 sq ft",1,3,4 BHK penthouse ,,East,"5, ",Viman Nagar,Resale,,"Garden View, Pool View, Road View",Freehold,,30000000.0,"₹ 8,955/ sq ft ",,,"Ready to move,Unfurnished",5
